statement,statement_id
"A hand, used to measure a horse's height, is four inches high",1
There are around 1500 active volcanoes in the world,2
The present city of Atlanta was originally named Terminus,3
Cleo was the name of the goldfish in Pinnochio,4
A Bandar is another name for the Rhesus monkey,5
The Mayflower carried 102 pilgrims on its historic 1620 voyage,6
"The Karakum Desert's name means ""black sand"" in Turkic languages",7
The zipper was invented by Elias Howe in 1851,8
The White House stands on 18 acres of land,9
The average longevity of a kangaroo is seven years,10
Margaret Gorman won the first Miss America Pageant,11
China has the greatest number of people over the age of 80,12
The typewriter was first invented by Christopher Sholes,13
The first cat show was in Great Britain's Crystal Palace in 1871,14
There are currently 5 known 'dwarf planets' in our solar system,15
Braille is based on a code of sixty-three characters,16
The monk dolphin is the only species of dolphin in its genus,17
Maria Goppert was the 2nd female Nobel Laureate in physics,18
Folegandros is the smallest island in the Mediterranean ocean,19
William Gray patented the the first pay phone in 1891,20
Maurice Garin was the first winner of the Tour de France,21
The Great Galaxy is the galaxy closest to the Milky Way,22
"Gunpowder is a mixture of saltpetre, sulphur, and charcoal",23
The cinnamon tree grows up to 20 meters tall,24
The bicycle was invented by Karl von Sauerbonn,25
The soccer World Cup Trophy was first called the Jules Rimet Trophy,26
The tallest active volcano is the Ojos del Salado,27
The spiny anteater is a mammal that lays eggs,28
The United States Capitol was designed by Dr  William Thornton,29
Napoleon was born on the island of Corsica,30
A gond is another name for a swamp deer,31
The Taka is the monetary unit of Bangladesh,32
"The diameter of the moon is 2,160 miles",33
Aconcagua is the tallest mountain in South America,34
The bandicoot is a marsupial animal of Australia,35
Nina Kuscsik was the first women's winner of the Boston Marathon,36
"One carat, used to weigh stones, equals exactly 200 milligrams",37
The longest fangs of any snake are those of the Gaboon Viper,38
The refrigerator was invented in 1748 by William Cullen,39
The Danube is the second longest river in Europe,40
Sir Mark Brunel constructed the Thames Tunnel in London,41
"Like the kangaroo, the Tasmanian Devil also has a pouch",42
A Jupiter day is 10 earth hours long,43
"Flemish artist Peter Bruegel the Younger painted ""The Crucifixion""",44
A decibel is a unit of measurement for sound intensity,45
"Fairy armadillos, found primarily in Argentina, live entirely underground",46
"The floppy disk was invented in San Jose, California",47
The driest region in the world is Atacama in Chile,48
The gestation period of a giraffe is 425 days,49
The Ural Mountain Range separates Asia and Europe,50
Earth's moon is the 5th largest moon in our solar system,51
The first gymnastics instruction at a college was offered at Harvard University,52
A group of apes is called a shrewdness,53
The canteloupe originated in a region from India to Africa,54
"The origin of loaded dice is Egypt, dating back to 3000 BC",55
The first MVP in professional baseball was Frank Frisch,56
The Lincoln penny was the first US coin to carry a portrait,57
"Originally known as ""diastoid"", malted milk was rebranded in 1887",58
A Pilot whale is actually a kind of dolphin,59
The first Hall of Fame was in New York University,60
A dorter is the monks' dormitory in a monastery,61
Walter Hunt was the man who invented the safety pin,62
Midway Island is not part of the state of Hawaii,63
A group of hippopotamuses is called a bloat,64